game_id,date,name,team,opp,score,cat,scored,ixg_l10,hdcf_l10,sog_l10,atoi_l10
2008020057,20081017,Brandon Dubinsky,NYR,TOR,7.56,JOUABLE,0,0.265,0.17,3.17,16.4
2008020066,20081018,Evgeni Malkin,PIT,TOR,7.56,JOUABLE,0,0.357,0.2,4.2,22.0
2008020075,20081018,Devin Setoguchi,SJS,PHI,8.63,JOUABLE,1,0.474,0.6,3.8,15.2
2008020075,20081018,Patrick Marleau,SJS,PHI,9.94,SAFE,0,0.458,1.0,3.6,22.5
2008020076,20081019,Patrick Sharp,CHI,VAN,9.94,SAFE,1,0.393,0.8,2.8,21.2
2008020076,20081019,Martin Havlat,CHI,VAN,8.11,JOUABLE,0,0.226,0.2,3.2,20.1
2008020076,20081019,Patrick Kane,CHI,VAN,9.55,SAFE,1,0.436,0.8,2.4,20.5
2008020079,20081020,Brenden Morrow,DAL,NYR,8.11,JOUABLE,1,0.445,0.4,3.6,21.2
2008020079,20081020,Scott Gomez,NYR,DAL,9.34,JOUABLE,0,0.241,0.0,3.62,22.4
2008020079,20081020,Brandon Dubinsky,NYR,DAL,7.56,JOUABLE,0,0.256,0.25,2.88,16.3
2008020080,20081020,Sergei Kostitsyn,MTL,FLA,7.56,JOUABLE,0,0.55,1.0,2.0,14.7
2008020080,20081020,Alex Kovalev,MTL,FLA,8.37,JOUABLE,0,0.485,0.8,3.8,19.9
2008020081,20081020,Milan Hejduk,COL,LAK,9.11,JOUABLE,1,0.54,1.2,4.8,21.2
2008020081,20081020,Ryan Smyth,COL,LAK,8.63,JOUABLE,1,0.435,0.4,4.0,20.8
2008020082,20081021,Marc Savard,BOS,BUF,9.11,JOUABLE,0,0.492,0.4,4.0,20.2
2008020082,20081021,Thomas Vanek,BUF,BOS,10.28,SAFE,0,0.975,2.0,6.4,20.3
2008020083,20081021,Jason Blake,TOR,ANA,7.84,JOUABLE,0,0.445,0.6,4.8,19.4
2008020084,20081021,Rick Nash,CBJ,VAN,10.28,SAFE,1,0.403,0.2,5.6,22.5
