game_id,date,season,name,team,opp,score,scored,pp1,ixg_l10,hdcf_l10,sog_l10,atoi_l10,ga_g
2008020044,20081015,2008,Brandon Dubinsky,NYR,BUF,6.118,0,True,0.277,0.2,3.4,16.3,1.0
2008020057,20081017,2008,Scott Gomez,NYR,TOR,5.837,0,False,0.159,0.0,3.33,22.1,4.0
2008020057,20081017,2008,Brandon Dubinsky,NYR,TOR,7.601,0,True,0.265,0.17,3.17,16.4,4.0
2008020066,20081018,2008,Tyler Kennedy,PIT,TOR,7.28,0,True,0.296,0.4,2.2,14.6,3.0
2008020066,20081018,2008,Evgeni Malkin,PIT,TOR,9.183,0,True,0.357,0.2,4.2,22.0,3.0
2008020066,20081018,2008,Miroslav Satan,PIT,TOR,7.672,1,True,0.323,0.2,1.6,19.1,3.0
2008020070,20081018,2008,Scott Gomez,NYR,DET,6.4,0,True,0.207,0.0,3.57,22.6,2.5
2008020070,20081018,2008,Brandon Dubinsky,NYR,DET,6.189,0,True,0.247,0.14,2.71,16.4,2.5
2008020072,20081018,2008,J-P Dumont,NSH,CBJ,5.313,0,True,0.204,0.0,2.6,18.8,3.75
2008020072,20081018,2008,Patric Hornqvist,NSH,CBJ,5.288,0,True,0.147,0.0,2.4,13.4,3.75
2008020075,20081018,2008,Jonathan Cheechoo,SJS,PHI,6.705,1,True,0.268,0.2,1.8,16.2,4.25
2008020075,20081018,2008,Joe Pavelski,SJS,PHI,5.898,1,False,0.221,0.0,2.8,17.9,4.25
2008020075,20081018,2008,Devin Setoguchi,SJS,PHI,9.606,1,True,0.474,0.6,3.8,15.2,4.25
2008020075,20081018,2008,Patrick Marleau,SJS,PHI,10.142,0,True,0.458,1.0,3.6,22.5,4.25
2008020076,20081019,2008,Patrick Sharp,CHI,VAN,9.079,1,True,0.393,0.8,2.8,21.2,3.4
2008020076,20081019,2008,Martin Havlat,CHI,VAN,7.261,0,False,0.226,0.2,3.2,20.1,3.4
2008020076,20081019,2008,Patrick Kane,CHI,VAN,9.124,1,True,0.436,0.8,2.4,20.5,3.4
2008020076,20081019,2008,Mason Raymond,VAN,CHI,7.211,0,True,0.316,0.2,2.4,16.4,2.8
2008020076,20081019,2008,Daniel Sedin,VAN,CHI,6.063,0,True,0.293,0.4,2.2,18.0,2.8
2008020076,20081019,2008,Alexandre Burrows,VAN,CHI,5.006,0,False,0.23,0.2,3.0,15.3,2.8
2008020077,20081019,2008,Teemu Selanne,ANA,CAR,7.28,0,True,0.298,0.2,2.8,16.8,3.5
2008020078,20081020,2008,Tyler Kennedy,PIT,BOS,6.09,0,False,0.27,0.33,2.33,14.1,3.25
2008020078,20081020,2008,Evgeni Malkin,PIT,BOS,8.897,0,True,0.333,0.17,3.83,21.6,3.25
2008020078,20081020,2008,Miroslav Satan,PIT,BOS,7.996,1,True,0.309,0.17,2.0,18.1,3.25
2008020079,20081020,2008,Brenden Morrow,DAL,NYR,8.78,1,True,0.445,0.4,3.6,21.2,2.0
2008020079,20081020,2008,Brad Richards,DAL,NYR,5.393,0,False,0.226,0.2,3.8,20.8,2.0
2008020079,20081020,2008,Mike Modano,DAL,NYR,5.477,1,True,0.281,0.2,2.4,19.3,2.0
2008020079,20081020,2008,Scott Gomez,NYR,DAL,8.071,0,True,0.241,0.0,3.62,22.4,4.6
2008020079,20081020,2008,Brandon Dubinsky,NYR,DAL,7.32,0,True,0.256,0.25,2.88,16.3,4.6
2008020080,20081020,2008,Sergei Kostitsyn,MTL,FLA,10.59,0,True,0.55,1.0,2.0,14.7,3.5
2008020080,20081020,2008,Robert Lang,MTL,FLA,6.231,0,False,0.275,0.4,2.0,17.4,3.5
2008020080,20081020,2008,Alex Kovalev,MTL,FLA,9.731,0,True,0.485,0.8,3.8,19.9,3.5
2008020080,20081020,2008,Alex Tanguay,MTL,FLA,7.518,0,True,0.439,0.4,1.8,16.6,3.5
2008020081,20081020,2008,Milan Hejduk,COL,LAK,10.485,1,True,0.54,1.2,4.8,21.2,2.5
2008020081,20081020,2008,Ryan Smyth,COL,LAK,9.419,1,True,0.435,0.4,4.0,20.8,2.5
2008020081,20081020,2008,Joe Sakic,COL,LAK,8.938,0,True,0.406,0.2,4.0,21.2,2.5
2008020081,20081020,2008,Paul Stastny,COL,LAK,6.806,0,False,0.325,0.4,2.8,21.8,2.5
2008020082,20081021,2008,Michael Ryder,BOS,BUF,6.644,0,True,0.318,0.6,3.2,17.1,1.4
2008020082,20081021,2008,Marc Savard,BOS,BUF,9.843,0,True,0.492,0.4,4.0,20.2,1.4
2008020082,20081021,2008,Phil Kessel,BOS,BUF,5.276,1,False,0.307,0.2,4.0,17.8,1.4
2008020082,20081021,2008,Ales Kotalik,BUF,BOS,8.885,0,True,0.437,0.4,3.0,15.7,2.8
2008020082,20081021,2008,Thomas Vanek,BUF,BOS,12.53,0,True,0.975,2.0,6.4,20.3,2.8
2008020083,20081021,2008,Nik Antropov,TOR,ANA,8.037,1,True,0.379,0.4,2.2,16.6,3.33
2008020083,20081021,2008,Niklas Hagman,TOR,ANA,7.751,0,True,0.241,0.0,3.6,18.8,3.33
2008020083,20081021,2008,Jason Blake,TOR,ANA,9.667,0,True,0.445,0.6,4.8,19.4,3.33
2008020084,20081021,2008,Rick Nash,CBJ,VAN,9.569,1,True,0.403,0.2,5.6,22.5,3.5
2008020084,20081021,2008,Kristian Huselius,CBJ,VAN,5.363,1,False,0.235,0.2,2.4,19.9,3.5
2008020084,20081021,2008,Jason Chimera,CBJ,VAN,6.466,1,True,0.243,0.4,2.0,16.5,3.5
2008020084,20081021,2008,Derick Brassard,CBJ,VAN,8.301,0,True,0.438,0.8,1.8,14.3,3.5
2008020084,20081021,2008,Daniel Sedin,VAN,CBJ,6.43,0,True,0.286,0.33,2.33,18.5,4.2
2008020085,20081021,2008,Jason Williams,ATL,TBL,6.587,0,True,0.368,0.8,2.2,16.0,2.4
2008020085,20081021,2008,Bryan Little,ATL,TBL,5.063,0,True,0.273,0.0,2.6,17.2,2.4
2008020085,20081021,2008,Ryan Malone,TBL,ATL,5.841,0,True,0.26,0.6,1.6,16.4,2.8
2008020085,20081021,2008,Vinny Prospal,TBL,ATL,7.885,1,True,0.336,0.2,2.8,19.0,2.8
2008020085,20081021,2008,Vincent Lecavalier,TBL,ATL,9.371,1,True,0.393,0.2,4.8,20.3,2.8
2008020086,20081021,2008,Rene Bourque,CGY,WSH,7.247,0,False,0.357,0.4,2.6,17.4,3.2
2008020086,20081021,2008,Daymond Langkow,CGY,WSH,9.808,0,True,0.455,0.4,4.0,19.7,3.2
2008020086,20081021,2008,Michael Cammalleri,CGY,WSH,6.231,0,False,0.273,0.0,2.8,17.1,3.2
2008020086,20081021,2008,Todd Bertuzzi,CGY,WSH,9.519,0,True,0.488,0.8,2.6,20.6,3.2
2008020086,20081021,2008,Jarome Iginla,CGY,WSH,9.122,1,True,0.359,0.0,4.0,22.0,3.2
2008020086,20081021,2008,Alexander Semin,WSH,CGY,8.944,0,True,0.387,0.4,4.0,18.3,4.4
2008020086,20081021,2008,Alex Ovechkin,WSH,CGY,9.915,0,True,0.45,0.2,5.2,25.1,4.4
2008020087,20081022,2008,Cory Stillman,FLA,OTT,7.618,1,True,0.293,0.2,2.4,18.8,3.0
2008020087,20081022,2008,Nathan Horton,FLA,OTT,9.112,1,True,0.403,0.4,3.2,19.7,3.0
2008020087,20081022,2008,David Booth,FLA,OTT,9.893,0,True,0.492,0.2,3.6,16.7,3.0
2008020087,20081022,2008,Radek Dvorak,FLA,OTT,6.048,0,False,0.246,0.2,2.8,13.5,3.0
2008020087,20081022,2008,Antoine Vermette,OTT,FLA,8.516,0,True,0.338,0.4,3.0,18.5,3.4
2008020087,20081022,2008,Nick Foligno,OTT,FLA,5.016,0,False,0.167,0.0,2.6,14.6,3.4
2008020087,20081022,2008,Dany Heatley,OTT,FLA,11.204,0,True,0.675,0.6,2.6,21.6,3.4
2008020087,20081022,2008,Jason Spezza,OTT,FLA,8.11,0,True,0.259,0.0,3.0,21.3,3.4
2008020088,20081022,2008,Brenden Morrow,DAL,NJD,9.669,0,True,0.541,0.5,3.5,21.2,1.8
2008020088,20081022,2008,Mike Modano,DAL,NJD,5.495,0,True,0.243,0.17,2.83,18.8,1.8
2008020088,20081022,2008,John Madden,NJD,DAL,6.698,1,False,0.239,0.2,3.0,18.6,4.0
2008020088,20081022,2008,Zach Parise,NJD,DAL,9.066,1,True,0.373,0.2,4.6,18.3,4.0
2008020088,20081022,2008,Patrik Elias,NJD,DAL,10.467,0,True,0.517,1.4,4.4,17.4,4.0
2008020089,20081022,2008,Mike Richards,PHI,SJS,6.865,1,True,0.343,0.2,1.8,23.3,2.0
2008020089,20081022,2008,Daniel Briere,PHI,SJS,5.8,1,True,0.307,0.2,2.6,18.7,2.0
2008020089,20081022,2008,Jeff Carter,PHI,SJS,5.946,1,True,0.207,0.0,3.6,21.6,2.0
2008020089,20081022,2008,Jonathan Cheechoo,SJS,PHI,7.901,0,True,0.322,0.17,2.33,16.5,4.4
2008020089,20081022,2008,Joe Pavelski,SJS,PHI,6.189,1,False,0.25,0.17,2.67,17.7,4.4
2008020089,20081022,2008,Devin Setoguchi,SJS,PHI,10.194,1,True,0.502,0.67,4.0,15.5,4.4
2008020089,20081022,2008,Patrick Marleau,SJS,PHI,10.252,1,True,0.464,1.0,3.5,22.5,4.4
2008020090,20081022,2008,Mikael Samuelsson,DET,STL,5.307,0,False,0.218,0.2,3.0,14.6,3.0
2008020090,20081022,2008,Marian Hossa,DET,STL,7.549,0,False,0.304,0.0,4.6,17.9,3.0
2008020090,20081022,2008,Daniel Cleary,DET,STL,9.863,0,True,0.473,1.2,3.0,14.3,3.0
2008020090,20081022,2008,Johan Franzen,DET,STL,8.786,1,True,0.373,0.2,3.4,18.1,3.0
2008020090,20081022,2008,Tomas Holmstrom,DET,STL,8.07,1,True,0.351,0.6,2.0,16.3,3.0
2008020090,20081022,2008,Brad Boyes,STL,DET,5.344,1,False,0.217,0.0,2.0,20.5,2.8
2008020090,20081022,2008,Andy McDonald,STL,DET,9.001,0,True,0.389,0.4,3.4,20.6,2.8
2008020090,20081022,2008,Keith Tkachuk,STL,DET,10.452,1,True,0.559,0.6,4.2,16.6,2.8
2008020091,20081022,2008,Patrick Sharp,CHI,EDM,8.57,1,True,0.404,0.67,3.0,20.9,2.25
2008020091,20081022,2008,Patrick Kane,CHI,EDM,9.016,0,True,0.458,0.83,3.0,20.4,2.25
2008020092,20081023,2008,Marc Savard,BOS,TOR,9.817,0,True,0.485,0.5,3.67,20.6,3.0
2008020092,20081023,2008,Phil Kessel,BOS,TOR,8.427,0,True,0.321,0.33,3.83,18.2,3.0
2008020092,20081023,2008,Nik Antropov,TOR,BOS,8.949,1,True,0.496,0.67,2.67,17.1,2.67
2008020093,20081023,2008,Brenden Morrow,DAL,NYI,9.731,1,True,0.487,0.43,3.43,20.8,3.2
2008020093,20081023,2008,Brad Richards,DAL,NYI,5.971,0,False,0.178,0.14,3.0,20.5,3.2
2008020093,20081023,2008,Mike Modano,DAL,NYI,7.519,0,True,0.242,0.14,2.71,18.0,3.2
2008020093,20081023,2008,Fabian Brunnstrom,DAL,NYI,6.038,0,True,0.218,0.2,2.4,14.6,3.2
2008020093,20081023,2008,Doug Weight,NYI,DAL,7.618,0,True,0.292,0.6,2.0,18.6,4.14
2008020093,20081023,2008,Mike Comrie,NYI,DAL,8.287,0,True,0.369,0.4,2.8,15.5,4.14
2008020093,20081023,2008,Trent Hunter,NYI,DAL,5.085,0,False,0.21,0.0,2.4,17.1,4.14
2008020093,20081023,2008,Bill Guerin,NYI,DAL,8.371,1,True,0.36,0.6,3.2,16.9,4.14
2008020094,20081023,2008,Matt Cullen,CAR,PIT,7.545,0,True,0.424,0.8,2.2,16.8,2.29
2008020094,20081023,2008,Rod Brind'Amour,CAR,PIT,6.806,0,True,0.331,0.4,2.2,19.6,2.29
2008020094,20081023,2008,Eric Staal,CAR,PIT,9.416,0,True,0.46,0.4,4.8,22.7,2.29
2008020094,20081023,2008,Tyler Kennedy,PIT,CAR,6.293,0,False,0.256,0.29,2.57,14.1,3.0
2008020094,20081023,2008,Evgeni Malkin,PIT,CAR,8.808,1,True,0.32,0.14,3.86,22.1,3.0
2008020094,20081023,2008,Miroslav Satan,PIT,CAR,8.168,0,True,0.317,0.29,2.0,18.0,3.0
2008020095,20081023,2008,Todd Bertuzzi,CGY,NSH,9.538,0,True,0.467,0.67,2.67,21.4,3.67
2008020095,20081023,2008,Jarome Iginla,CGY,NSH,9.173,1,True,0.37,0.0,4.17,22.5,3.67
2008020095,20081023,2008,Martin Erat,NSH,CGY,5.767,0,True,0.174,0.33,2.0,17.5,3.83
