game_id,date,name,team,opp,sog_score,hit_sog,actual_sog,pp1,is_home,sog_l10,atoi_l10,ixg_l10,hdcf_l10,season_g,sa_g,sog_x_atoi
2008020044,20081015,Scott Gomez,NYR,BUF,4.25,1,3,0,1,3.4,21.9,0.1668,0.0,0.2,26.0,74.49
2008020044,20081015,Brandon Dubinsky,NYR,BUF,4.75,0,2,1,1,3.4,16.3,0.2774,0.2,0.6,26.0,55.43
2008020044,20081015,Markus Naslund,NYR,BUF,-0.25,0,1,0,1,1.4,17.1,0.1012,0.0,0.2,26.0,23.96
2008020057,20081017,Scott Gomez,NYR,TOR,5.25,1,5,0,1,3.33,22.1,0.1592,0.0,0.333,32.3,73.62
2008020057,20081017,Brandon Dubinsky,NYR,TOR,5.75,0,0,1,1,3.17,16.4,0.2652,0.17,0.5,32.3,52.07
2008020057,20081017,Markus Naslund,NYR,TOR,0.75,0,2,0,1,1.33,16.6,0.0882,0.0,0.167,32.3,22.17
2008020066,20081018,Evgeni Malkin,PIT,TOR,9.75,0,2,1,1,4.2,22.0,0.3566,0.2,0.4,32.2,92.57
2008020066,20081018,Miroslav Satan,PIT,TOR,3.25,1,4,1,1,1.6,19.1,0.3232,0.2,0.4,32.2,30.52
2008020070,20081018,Scott Gomez,NYR,DET,6.5,1,4,1,0,3.57,22.6,0.2074,0.0,0.286,27.0,80.73
2008020070,20081018,Brandon Dubinsky,NYR,DET,3.0,1,4,1,0,2.71,16.4,0.247,0.14,0.429,27.0,44.49
2008020070,20081018,Markus Naslund,NYR,DET,-0.5,1,4,0,0,1.43,16.5,0.1194,0.0,0.143,27.0,23.61
2008020072,20081018,J-P Dumont,NSH,CBJ,3.75,0,0,1,1,2.6,18.8,0.2044,0.0,0.2,29.0,48.81
2008020072,20081018,Martin Erat,NSH,CBJ,-0.25,1,5,0,1,1.4,17.8,0.1178,0.2,0.2,29.0,24.94
2008020075,20081018,Jonathan Cheechoo,SJS,PHI,1.75,1,5,1,1,1.8,16.2,0.268,0.2,0.6,29.0,29.08
2008020075,20081018,Joe Pavelski,SJS,PHI,1.75,0,2,0,1,2.8,17.9,0.2206,0.0,0.2,29.0,50.03
2008020075,20081018,Patrick Marleau,SJS,PHI,7.75,1,3,1,1,3.6,22.5,0.4584,1.0,0.4,29.0,80.96
2008020076,20081019,Patrick Sharp,CHI,VAN,6.25,1,4,1,1,2.8,21.2,0.3932,0.8,0.4,31.0,59.42
2008020076,20081019,Martin Havlat,CHI,VAN,4.75,0,0,0,1,3.2,20.1,0.2258,0.2,0.4,31.0,64.3
2008020076,20081019,Patrick Kane,CHI,VAN,5.75,1,6,1,1,2.4,20.5,0.4362,0.8,0.6,31.0,49.18
2008020076,20081019,Kris Versteeg,CHI,VAN,0.25,0,0,0,1,1.4,17.3,0.1792,0.2,0.2,31.0,24.22
2008020076,20081019,Mason Raymond,VAN,CHI,3.0,1,3,1,0,2.4,16.4,0.3162,0.2,0.2,29.8,39.4
2008020076,20081019,Daniel Sedin,VAN,CHI,3.5,1,3,1,0,2.2,18.0,0.2932,0.4,0.4,29.8,39.62
2008020076,20081019,Pavol Demitra,VAN,CHI,-0.5,0,2,0,0,1.6,18.0,0.0882,0.0,0.2,29.8,28.73
2008020076,20081019,Ryan Kesler,VAN,CHI,-0.5,0,2,0,0,1.8,16.7,0.215,0.2,0.6,29.8,30.08
2008020076,20081019,Henrik Sedin,VAN,CHI,0.0,1,4,0,0,1.2,18.2,0.1454,0.0,0.2,29.8,21.85
2008020077,20081019,Teemu Selanne,ANA,CAR,4.25,1,5,1,1,2.8,16.8,0.298,0.2,0.2,30.5,47.14
2008020077,20081019,Samuel Pahlsson,ANA,CAR,0.25,0,2,0,1,1.6,16.3,0.1394,0.2,0.2,30.5,26.04
2008020078,20081020,Sidney Crosby,PIT,BOS,4.0,1,6,0,0,3.33,22.9,0.2238,0.0,0.167,29.0,76.36
