game_id,date,season,name,team,opp,qs_v10,scored,pp1,is_home,is_b2b,opp_is_b2b,ixg_l10,hdcf_l10,sog_l10,atoi_l10,season_g,ga_g,hdca_g,l3_goals,l5_goals,l3_scored,l5_scored,l10_goals,l10_scored,consec_goals,luck_factor
2008020044,20081015,2008,Scott Gomez,NYR,BUF,3.715,1,0,1,0,0,0.1668,0.0,3.4,21.9,0.2,1.0,1.0,0.0,1.0,0,1,1.0,1,0,1.199
2008020044,20081015,2008,Brandon Dubinsky,NYR,BUF,5.63,0,1,1,0,0,0.2774,0.2,3.4,16.3,0.6,1.0,1.0,2.0,3.0,2,3,3.0,3,1,2.163
2008020044,20081015,2008,Markus Naslund,NYR,BUF,2.776,0,0,1,0,0,0.1012,0.0,1.4,17.1,0.2,1.0,1.0,0.0,1.0,0,1,1.0,1,0,1.976
2008020057,20081017,2008,Scott Gomez,NYR,TOR,6.719,0,0,1,0,0,0.1592,0.0,3.33,22.1,0.333,4.0,4.67,1.0,2.0,1,2,2.0,2,1,2.094
2008020057,20081017,2008,Brandon Dubinsky,NYR,TOR,8.873,0,1,1,0,0,0.2652,0.17,3.17,16.4,0.5,4.0,4.67,1.0,2.0,1,2,3.0,3,0,1.886
2008020066,20081018,2008,Evgeni Malkin,PIT,TOR,10.945,0,1,1,0,1,0.3566,0.2,4.2,22.0,0.4,3.0,4.25,1.0,2.0,1,2,2.0,2,1,1.122
2008020066,20081018,2008,Miroslav Satan,PIT,TOR,9.941,1,1,1,0,1,0.3232,0.2,1.6,19.1,0.4,3.0,4.25,2.0,2.0,2,2,2.0,2,1,1.238
2008020070,20081018,2008,Scott Gomez,NYR,DET,5.374,0,1,0,1,0,0.2074,0.0,3.57,22.6,0.286,2.5,3.5,1.0,1.0,1,1,2.0,2,0,1.377
2008020070,20081018,2008,Brandon Dubinsky,NYR,DET,5.127,0,1,0,1,0,0.247,0.14,2.71,16.4,0.429,2.5,3.5,1.0,2.0,1,2,3.0,3,0,1.735
2008020072,20081018,2008,J-P Dumont,NSH,CBJ,4.059,0,1,1,1,1,0.2044,0.0,2.6,18.8,0.2,3.75,2.0,1.0,1.0,1,1,1.0,1,1,0.978
2008020072,20081018,2008,Martin Erat,NSH,CBJ,3.419,1,0,1,1,1,0.1178,0.2,1.4,17.8,0.2,3.75,2.0,1.0,1.0,1,1,1.0,1,0,1.698
2008020075,20081018,2008,Jonathan Cheechoo,SJS,PHI,6.719,1,1,1,1,0,0.268,0.2,1.8,16.2,0.6,4.25,3.75,1.0,3.0,1,2,3.0,2,0,2.239
2008020075,20081018,2008,Joe Pavelski,SJS,PHI,4.891,1,0,1,1,0,0.2206,0.0,2.8,17.9,0.2,4.25,3.75,0.0,1.0,0,1,1.0,1,0,0.907
2008020075,20081018,2008,Patrick Marleau,SJS,PHI,10.945,0,1,1,1,0,0.4584,1.0,3.6,22.5,0.4,4.25,3.75,2.0,2.0,1,1,2.0,1,0,0.873
2008020076,20081019,2008,Patrick Sharp,CHI,VAN,10.439,1,1,1,1,0,0.3932,0.8,2.8,21.2,0.4,3.4,3.4,2.0,2.0,2,2,2.0,2,0,1.017
2008020076,20081019,2008,Martin Havlat,CHI,VAN,7.0,0,0,1,1,0,0.2258,0.2,3.2,20.1,0.4,3.4,3.4,2.0,2.0,2,2,2.0,2,0,1.771
2008020076,20081019,2008,Patrick Kane,CHI,VAN,10.119,1,1,1,1,0,0.4362,0.8,2.4,20.5,0.6,3.4,3.4,2.0,3.0,1,2,3.0,2,1,1.376
2008020076,20081019,2008,Kris Versteeg,CHI,VAN,2.63,0,0,1,1,0,0.1792,0.2,1.4,17.3,0.2,3.4,3.4,0.0,1.0,0,1,1.0,1,0,1.116
2008020076,20081019,2008,Mason Raymond,VAN,CHI,7.836,0,1,0,0,1,0.3162,0.2,2.4,16.4,0.2,2.8,2.2,1.0,1.0,1,1,1.0,1,0,0.633
2008020076,20081019,2008,Daniel Sedin,VAN,CHI,5.894,0,1,0,0,1,0.2932,0.4,2.2,18.0,0.4,2.8,2.2,0.0,2.0,0,1,2.0,1,0,1.364
2008020076,20081019,2008,Pavol Demitra,VAN,CHI,3.715,1,0,0,0,1,0.0882,0.0,1.6,18.0,0.2,2.8,2.2,0.0,1.0,0,1,1.0,1,0,2.268
2008020076,20081019,2008,Ryan Kesler,VAN,CHI,2.953,0,0,0,0,1,0.215,0.2,1.8,16.7,0.6,2.8,2.2,2.0,3.0,2,3,3.0,3,2,2.791
2008020076,20081019,2008,Henrik Sedin,VAN,CHI,3.055,1,0,0,0,1,0.1454,0.0,1.2,18.2,0.2,2.8,2.2,0.0,1.0,0,1,1.0,1,0,1.376
2008020077,20081019,2008,Teemu Selanne,ANA,CAR,8.37,0,1,1,0,0,0.298,0.2,2.8,16.8,0.2,3.5,4.0,1.0,1.0,1,1,1.0,1,0,0.671
2008020077,20081019,2008,Samuel Pahlsson,ANA,CAR,3.166,0,0,1,0,0,0.1394,0.2,1.6,16.3,0.2,3.5,4.0,1.0,1.0,1,1,1.0,1,1,1.435
2008020078,20081020,2008,Pascal Dupuis,PIT,BOS,4.665,0,0,0,0,0,0.2173,0.33,2.0,16.2,0.333,3.25,3.25,2.0,2.0,2,2,2.0,2,1,1.534
2008020078,20081020,2008,Evgeni Malkin,PIT,BOS,10.834,0,1,0,0,0,0.3333,0.17,3.83,21.6,0.333,3.25,3.25,1.0,1.0,1,1,2.0,2,0,1.0
2008020078,20081020,2008,Miroslav Satan,PIT,BOS,9.941,1,1,0,0,0,0.3093,0.17,2.0,18.1,0.5,3.25,3.25,2.0,3.0,2,3,3.0,3,2,1.616
