iter	Logloss
0	0.690707248
1	0.687927584
2	0.6859024266
3	0.6837220913
4	0.6818135926
5	0.6800166276
6	0.6778839046
7	0.6760497396
8	0.6745600328
9	0.6731225472
10	0.6715872494
11	0.6700332029
12	0.6686782678
13	0.6676226537
14	0.6664054633
15	0.6651660192
16	0.6639600088
17	0.6631540526
18	0.6618899875
19	0.6609371889
20	0.6600619842
21	0.659128124
22	0.658310374
23	0.6574355839
24	0.6563488639
25	0.655476015
26	0.6540518153
27	0.6531893881
28	0.6524741433
29	0.6512327056
30	0.6504157136
31	0.6499459014
32	0.6492104738
33	0.6483818609
34	0.6475561059
35	0.6469812838
36	0.6463949759
37	0.6458699966
38	0.6454069586
39	0.6449512083
40	0.6445560253
41	0.6440484206
42	0.6436877692
43	0.6429915623
44	0.6422451134
45	0.6419343012
46	0.6413939354
47	0.6400623013
48	0.6394276507
49	0.6390665148
50	0.6383268465
51	0.6381243571
52	0.6374083615
53	0.6370373128
54	0.6361969969
55	0.6354904199
56	0.6348509228
57	0.6342137008
58	0.633364681
59	0.6328564123
60	0.6325261986
61	0.6319289832
62	0.6313335433
63	0.6310500417
64	0.6305522569
65	0.6300857773
66	0.6295292151
67	0.6292388617
68	0.628878475
69	0.6284770211
70	0.6280630239
71	0.627514754
72	0.6269393955
73	0.6266900542
74	0.6262848961
75	0.6260568852
76	0.6254636716
77	0.6250363274
78	0.6247147353
79	0.6238081762
80	0.6235419529
81	0.6228593148
82	0.6223830027
83	0.6219331599
84	0.6214214973
85	0.6209319075
86	0.6207655372
87	0.6205790344
88	0.6204274713
89	0.6200258002
