iter	Passed	Remaining
0	16	1647
1	31	1549
2	47	1534
3	62	1502
4	77	1473
5	92	1445
6	107	1432
7	123	1422
8	139	1408
9	155	1401
10	170	1379
11	187	1375
12	204	1369
13	221	1359
14	235	1337
15	251	1321
16	266	1303
17	280	1278
18	294	1257
19	311	1245
20	327	1230
21	342	1214
22	357	1196
23	373	1181
24	387	1162
25	401	1143
26	419	1133
27	439	1130
28	456	1116
29	473	1105
30	491	1093
31	508	1081
32	527	1071
33	546	1061
34	566	1051
35	584	1038
36	599	1020
37	615	1004
38	631	987
39	649	973
40	666	958
41	681	941
42	697	924
43	716	911
44	734	898
45	755	886
46	772	870
47	791	857
48	813	846
49	835	835
50	854	820
51	875	807
52	895	794
53	910	775
54	930	761
55	949	745
56	967	730
57	983	712
58	999	694
59	1015	677
60	1030	658
61	1043	639
62	1057	620
63	1072	603
64	1086	584
65	1100	566
66	1115	549
67	1130	532
68	1145	514
69	1159	496
70	1173	479
71	1189	462
72	1205	445
73	1219	428
74	1237	412
75	1254	396
76	1269	379
77	1284	362
78	1302	346
79	1319	329
80	1337	313
81	1354	297
82	1373	281
83	1391	265
84	1408	248
85	1425	232
86	1440	215
87	1456	198
88	1472	182
89	1488	165
90	1504	148
91	1519	132
92	1533	115
93	1548	98
94	1564	82
95	1583	65
96	1599	49
97	1617	33
98	1636	16
99	1654	0
