"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"1","Nathan MacKinnon","COL","C","60","985.15","25","36","24","12","61","76.25","166","15.06","15.22","291","220","164","59","7","18","14","7","7","0","0","14","99","14","39","48","24","435","439","49.77"
"2","Nikita Kucherov","T.B","R","56","813.1166666666667","19","31","17","14","50","83.33","104","18.27","11.14","255","183","116","36","3","18","22","11","11","0","0","17","55","15","20","32","22","0","0","-"
"3","Martin Necas","COL","C","58","930.0166666666667","18","32","18","14","50","70.42","96","18.75","10.27","212","144","120","40","2","15","24","12","12","0","0","20","74","12","60","73","20","7","6","53.85"
"4","Mark Scheifele","WPG","C","61","1000.0666666666667","19","29","19","10","48","78.69","76","25.00","12.49","162","130","126","62","2","14","10","5","5","0","0","17","65","17","21","73","29","342","403","45.91"
"5","Macklin Celebrini","S.J","C","60","931.5666666666667","19","28","19","9","47","83.93","116","16.38","12.44","219","168","146","51","3","26","24","12","12","0","0","27","77","28","29","57","34","377","404","48.27"
"6","Connor McDavid","EDM","C","63","1065.2166666666667","16","28","17","11","44","74.58","138","11.59","18.34","252","209","168","75","2","27","20","10","10","0","0","29","82","18","29","67","22","279","309","47.45"
"7","Kyle Connor","WPG","L","61","967.7166666666667","18","24","15","9","42","73.68","144","12.50","13.39","253","197","150","53","1","23","16","8","8","0","0","9","40","11","16","27","10","0","0","-"
"8","Ivan Barbashev","VGK","L","63","942.3166666666667","17","24","16","8","41","77.36","87","19.54","11.12","160","131","114","63","4","12","10","5","5","0","0","9","66","14","97","64","31","6","29","17.14"
"9","Leon Draisaitl","EDM","C","60","982.35","16","24","17","7","40","68.97","93","17.20","11","187","150","92","33","2","15","22","11","11","0","0","10","81","23","27","46","13","409","320","56.10"
"10","Zach Werenski","CBJ","D","54","1099.7666666666667","16","23","9","14","39","60.94","139","11.51","6.24","322","210","111","8","3","23","12","6","6","0","0","7","72","18","21","70","58","0","0","-"
"11","Nick Schmaltz","UTA","C","62","878.95","17","21","14","7","38","73.08","100","17.00","11.56","205","150","113","52","6","17","18","9","9","0","0","14","57","27","12","50","34","249","300","45.36"
"12","Mitch Marner","VGK","R","62","853.9666666666667","13","25","16","9","38","79.17","80","16.25","8.44","170","122","92","40","3","14","12","6","6","0","0","10","60","19","20","42","29","108","154","41.22"
