"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"1","Nikita Kucherov","T.B","R","10","152.0","6","6","5","1","12","80.00","19","31.58","2.05","44","31","15","6","0","7","6","3","3","0","0","3","9","3","12","3","4","0","0","-"
"2","Nathan MacKinnon","COL","C","9","149.56666666666666","4","7","7","0","11","84.62","31","12.90","2.63","51","41","27","9","0","3","0","0","0","0","0","1","21","3","4","9","3","54","41","56.84"
"3","Jamie Benn","DAL","L","10","116.86666666666666","4","5","2","3","9","81.82","12","33.33","1.99","21","19","15","8","0","1","4","2","2","0","0","1","5","2","15","5","3","2","4","33.33"
"4","Cole Caufield","MTL","R","10","130.75","7","2","1","1","9","64.29","22","31.82","2.3","36","25","15","10","0","3","4","2","2","0","0","1","4","2","9","4","4","0","1","0.00"
"5","Mavrik Bourque","DAL","C","10","148.36666666666667","5","4","3","1","9","90.00","25","20.00","3","36","31","22","17","1","10","4","2","2","0","0","0","11","1","14","18","3","8","7","53.33"
"6","Jimmy Snuggerud","STL","R","10","138.0","4","5","3","2","9","81.82","15","26.67","1.42","30","23","16","5","0","1","0","0","0","0","0","1","5","3","10","9","4","0","0","-"
"7","Macklin Celebrini","S.J","C","10","162.8","5","4","1","3","9","112.50","22","22.73","2.31","43","36","29","4","0","4","2","1","1","0","0","3","15","1","6","13","6","66","73","47.48"
"8","Matt Duchene","DAL","C","10","132.0","4","4","4","0","8","80.00","15","26.67","1.6","28","21","19","8","1","3","2","1","1","0","0","0","12","2","6","4","3","58","47","55.24"
"9","Nick Schmaltz","UTA","C","10","146.26666666666668","3","5","1","4","8","80.00","12","25.00","1.52","28","19","15","4","2","0","2","1","1","0","0","0","10","4","0","9","9","45","66","40.54"
"10","Brayden Point","T.B","C","7","94.41666666666667","3","5","3","2","8","80.00","5","60.00","1.06","14","11","13","8","0","0","2","1","1","0","0","2","1","3","3","5","2","38","41","48.10"
"11","Clayton Keller","UTA","R","10","141.51666666666668","2","6","5","1","8","88.89","22","9.09","1.66","38","30","19","8","0","2","4","2","2","0","0","4","10","1","0","11","5","0","2","0.00"
"12","Sam Steel","DAL","C","10","127.76666666666667","2","6","2","4","8","66.67","12","16.67","2.56","22","21","20","10","1","3","2","1","1","0","0","2","6","3","14","11","2","1","0","100.00"
"13","Nick Suzuki","MTL","C","10","144.4","2","6","6","0","8","57.14","14","14.29","1.31","32","22","16","2","1","1","4","2","2","0","0","1","6","4","8","11","5","63","58","52.07"
"14","Evan Bouchard","EDM","D","10","176.61666666666667","2","6","2","4","8","66.67","21","9.52","1.23","43","29","21","4","0","5","6","3","3","0","0","0","11","4","7","8","8","0","0","-"
"15","Rasmus Dahlin","BUF","D","10","179.96666666666667","2","6","1","5","8","50.00","9","22.22","0.68","29","17","9","2","0","3","13","5","4","1","0","9","12","4","5","12","5","0","0","-"
"16","Noah Dobson","MTL","D","10","177.5","2","6","5","1","8","47.06","22","9.09","0.98","47","33","11","1","0","7","2","1","1","0","0","2","5","4","9","21","13","0","0","-"
"17","Egor Chinakhov","PIT","R","10","128.0","4","4","3","1","8","100.00","25","16.00","2.28","41","32","21","9","1","2","4","2","2","0","0","3","7","1","5","3","0","0","0","-"
