"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"1","Connor McDavid","EDM","C","63","211.91666666666666","9","31","16","15","40","80.00","53","16.98","9.65","88","75","54","26","0","12","4","2","2","0","0","4","9","1","0","10","0","31","25","55.36"
"2","Leon Draisaitl","EDM","C","60","201.76666666666668","15","23","14","9","38","79.17","59","25.42","9.93","122","92","67","22","0","13","0","0","0","0","0","0","12","0","2","4","0","101","70","59.06"
"3","Nick Suzuki","MTL","C","61","197.56666666666666","8","22","10","12","30","85.71","29","27.59","6.71","63","52","38","17","0","9","2","1","1","0","0","2","7","2","1","3","0","91","103","46.91"
"4","Jason Robertson","DAL","L","62","219.95","11","18","5","13","29","64.44","52","21.15","8.39","93","77","67","26","0","14","4","2","2","0","0","1","10","3","2","5","0","0","0","-"
"5","Wyatt Johnston","DAL","C","62","199.56666666666666","19","10","6","4","29","67.44","57","33.33","12.29","91","74","85","50","0","16","4","2","2","0","0","0","4","0","1","6","0","19","22","46.34"
"6","Mikko Rantanen","DAL","R","54","203.01666666666668","5","23","13","10","28","73.68","34","14.71","5.64","67","54","43","14","0","6","4","2","2","0","0","1","7","1","1","3","0","8","10","44.44"
"7","Nikita Kucherov","T.B","R","56","237.5","5","20","12","8","25","73.53","39","12.82","4.07","86","60","28","3","0","3","6","2","2","0","0","2","25","0","2","4","1","0","0","-"
"8","Quinn Hughes","MIN, VAN","D","57","230.96666666666667","3","22","7","15","25","73.53","33","9.09","2.89","79","52","27","2","0","10","2","1","1","0","0","1","9","3","0","1","5","0","0","-"
"9","Dylan Cozens","OTT","C","61","186.16666666666666","12","13","4","9","25","71.43","39","30.77","5","65","52","50","16","0","6","0","0","0","0","0","2","6","0","2","2","0","48","36","57.14"
"10","Ryan Nugent-Hopkins","EDM","C","54","180.71666666666667","8","16","6","10","24","52.17","20","40.00","3.71","44","32","40","17","0","3","0","0","0","0","0","0","3","1","1","1","2","1","0","100.00"
"11","David Pastrnak","BOS","R","57","206.31666666666666","7","17","14","3","24","70.59","50","14.00","6.46","112","72","38","15","0","14","4","2","2","0","0","0","13","2","0","5","0","0","0","-"
"12","Evan Bouchard","EDM","D","63","211.21666666666667","6","18","8","10","24","48.98","38","15.79","3.41","73","51","33","1","0","6","0","0","0","0","0","0","8","5","0","2","4","0","0","-"
"13","Pavel Dorofeyev","VGK","R","63","195.46666666666667","15","9","6","3","24","63.16","59","25.42","9.65","97","78","65","22","0","13","0","0","0","0","0","0","2","2","0","4","0","0","0","-"
"14","Sam Reinhart","FLA","C","63","253.56666666666666","10","13","11","2","23","65.71","55","18.18","15.46","114","94","92","58","1","15","0","0","0","0","0","0","6","0","3","7","0","17","27","38.64"
"15","Jake Guentzel","T.B","C","60","243.15","6","16","7","9","22","66.67","45","13.33","9.58","64","60","53","39","0","6","21","5","3","1","1","3","12","1","2","6","1","37","50","42.53"
"16","Jack Eichel","VGK","C","55","178.31666666666666","0","22","5","17","22","66.67","31","0.00","3.81","65","50","27","4","0","8","2","1","1","0","0","3","12","2","0","4","0","24","20","54.55"
"17","Lucas Raymond","DET","L","61","195.2","5","17","9","8","22","78.57","38","13.16","5.16","67","49","43","9","0","10","4","2","2","0","0","0","6","2","1","6","1","0","0","-"
"18","Tim Stützle","OTT","C","61","198.05","7","15","5","10","22","62.86","31","22.58","3.41","56","38","36","6","0","3","0","0","0","0","0","0","9","3","1","7","0","18","19","48.65"
"19","Mark Stone","VGK","R","43","129.96666666666667","7","14","11","3","21","67.74","21","33.33","6.71","35","32","33","29","0","3","0","0","0","0","0","0","2","2","0","1","0","0","0","-"
"20","Nathan MacKinnon","COL","C","60","251.51666666666668","8","13","10","3","21","80.77","77","10.39","8","123","97","57","15","0","12","0","0","0","0","0","1","17","3","1","7","0","84","37","69.42"
"21","Kirill Kaprizov","MIN","L","63","246.31666666666666","11","10","6","4","21","63.64","60","18.33","12.21","117","101","72","31","0","22","4","2","2","0","0","1","13","4","1","9","1","0","0","-"
"22","Morgan Geekie","BOS","C","61","182.7","12","9","2","7","21","65.63","41","29.27","6.16","76","64","32","15","0","8","2","1","1","0","0","2","5","3","5","4","2","15","14","51.72"
"23","Brad Marchand","FLA","L","52","188.91666666666666","6","14","6","8","20","68.97","30","20.00","6.05","67","50","44","23","0","6","6","3","3","0","0","0","11","2","1","2","1","0","0","-"
"24","Mika Zibanejad","NYR","C","61","185.66666666666666","12","8","6","2","20","80.00","40","30.00","7.38","76","67","38","18","0","9","0","0","0","0","0","0","9","2","0","3","1","13","19","40.63"
"25","Tomas Hertl","VGK","C","63","195.61666666666667","10","10","5","5","20","52.63","46","21.74","11.09","97","76","95","60","0","17","2","1","1","0","0","1","4","0","1","3","0","107","67","61.49"
"26","Cale Makar","COL","D","61","247.21666666666667","2","18","7","11","20","76.92","40","5.00","3.71","113","74","34","1","0","10","0","0","0","0","0","0","5","1","1","3","3","0","0","-"
"27","Drake Batherson","OTT","R","58","174.4","8","12","8","4","20","60.61","25","32.00","6.18","47","42","34","18","0","7","2","1","1","0","0","0","8","0","1","4","0","2","0","100.00"
"28","Cole Caufield","MTL","R","61","184.56666666666666","7","13","9","4","20","60.61","38","18.42","7.7","67","58","42","17","0","7","0","0","0","0","0","1","3","1","0","6","0","0","0","-"
"29","Macklin Celebrini","S.J","C","60","224.25","4","16","10","6","20","80.00","49","8.16","5.39","105","74","56","10","0","9","8","4","4","0","0","4","14","0","2","7","0","52","45","53.61"
"30","Bryan Rust","PIT","R","54","163.3","5","14","8","6","19","70.37","31","16.13","6.89","66","56","51","17","0","10","0","0","0","0","0","0","7","2","3","5","0","0","1","0.00"
"31","Filip Forsberg","NSH","L","62","175.61666666666667","8","11","6","5","19","73.08","37","21.62","5.37","78","58","35","13","0","6","6","3","3","0","0","1","15","3","2","2","0","0","1","0.00"
"32","Tyler Bertuzzi","CHI","L","59","179.36666666666667","10","9","6","3","19","76.00","34","29.41","8.21","55","50","52","40","0","4","0","0","0","0","0","1","6","0","2","9","0","7","12","36.84"
"33","Darren Raddysh","T.B","D","54","190.05","7","12","4","8","19","67.86","37","18.92","3.52","80","58","23","0","0","10","0","0","0","0","0","0","5","1","3","3","3","0","0","-"
"34","Roope Hintz","DAL","C","53","157.51666666666668","6","13","7","6","19","55.88","36","16.67","8.15","56","52","49","40","0","10","2","1","1","0","0","1","3","0","1","3","0","87","59","59.59"
"35","Miro Heiskanen","DAL","D","60","194.51666666666668","1","18","8","10","19","46.34","14","7.14","1.03","35","18","15","0","0","6","0","0","0","0","0","1","2","3","1","2","4","0","0","-"
"36","Sidney Crosby","PIT","C","56","167.56666666666666","9","9","5","4","18","69.23","40","22.50","7.2","66","52","43","23","0","9","4","2","2","0","0","0","7","1","2","2","0","125","70","64.10"
"37","Andrei Svechnikov","CAR","R","62","174.46666666666667","6","12","7","5","18","69.23","37","16.22","5.79","73","58","47","16","0","9","2","1","1","0","0","0","8","0","2","3","0","1","1","50.00"
"38","Matt Boldy","MIN","L","59","225.46666666666667","8","10","6","4","18","62.07","42","19.05","6.28","94","74","41","16","0","5","6","3","3","0","0","1","12","3","0","10","0","14","24","36.84"
"39","Juraj Slafkovský","MTL","L","61","182.51666666666668","10","8","5","3","18","58.06","31","32.26","7.51","60","47","46","27","0","5","4","2","2","0","0","2","9","4","1","7","1","8","14","36.36"
"40","Elias Lindholm","BOS","C","49","136.11666666666667","5","12","3","9","17","70.83","22","22.73","5.71","47","39","42","23","0","4","0","0","0","0","0","0","4","2","2","1","0","76","47","61.79"
"41","Dylan Strome","WSH","C","62","191.85","4","13","8","5","17","68.00","32","12.50","4.89","45","41","28","15","0","7","4","2","2","0","0","1","8","1","2","3","0","152","79","65.80"
"42","Artemi Panarin","L.A, NYR","L","57","183.56666666666666","2","15","8","7","17","65.38","42","4.76","4.75","96","69","40","5","0","8","0","0","0","0","0","0","10","3","0","2","0","0","0","-"
"43","Alex DeBrincat","DET","R","63","202.61666666666667","11","6","2","4","17","60.71","48","22.92","9.46","101","81","71","31","0","12","0","0","0","0","0","1","8","2","0","3","0","5","5","50.00"
"44","Mikhail Sergachev","UTA","D","61","189.05","5","12","3","9","17","77.27","33","15.15","2.12","53","38","17","0","0","5","2","1","1","0","0","0","8","3","2","2","7","0","0","-"
"45","Tage Thompson","BUF","C","62","209.1","5","12","5","7","17","60.71","49","10.20","6.24","100","75","41","14","0","2","2","1","1","0","0","3","9","3","0","3","0","41","46","47.13"
"46","Rasmus Dahlin","BUF","D","58","193.01666666666668","4","13","5","8","17","60.71","37","10.81","3.11","79","56","32","5","0","9","2","1","1","0","0","1","9","4","2","2","3","0","0","-"
"47","Moritz Seider","DET","D","63","193.81666666666666","1","16","9","7","17","60.71","19","5.26","1.92","59","35","25","2","0","2","4","2","2","0","0","1","4","2","2","3","1","0","0","-"
"48","Jake Sanderson","OTT","D","61","195.41666666666666","3","14","5","9","17","48.57","38","7.89","3.59","76","53","22","5","0","6","0","0","0","0","0","0","3","1","1","2","5","0","0","-"
